,equipment,paired?,OK for pyramid?,cardio (1-5),pecs,triceps,delts,biceps,traps,lats,back-core,abs,obliques,glutes,hamstrings,quads,hip abductors,hip flexor,hip adductors,calves
Pushups,,,1,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
TRX pushups,TRX,,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
TRX Tricep dips,TRX,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead tricep press,Weights,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead tricep press TRX,TRX,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T-Y-I fly TRX,TRX,,0,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Row and overhead press,Weights,,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Bent over row,Weights,,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
pullups,pullupbar,,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
chinups,pullupbar,,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
chillups,pullupbar,,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Speed squats,,,0,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Fast march in place,,,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Mountain climbers,,,1,5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Plank jacks/step outs,,,1,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Burpees,,,1,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Skaters,,,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Reverse lunge with kicks,,,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Plank,,,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Plank with shoulder taps,,,0,3,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Plank with up up down down,,,0,3,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Elbow plank -- body saw,,,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Side plank,,paired,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Side plank with hip dips,,paired,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Side plank with crunch then toe tap,,paired,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Plank with leg raise,,paired,1,2,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0
TRX plank,TRX,,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
TRK plank crunches,TRX,,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
TRX pikes,TRX,,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
TRX plank pike crunch,TRX,,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
TRX side plank,TRX,paired,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Russian twist,Weights,,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
Leg raises,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Bicycle crunches,,,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TRX torso rotation,TRX,,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
Flutter kick,,,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Kettlebell side swings,kettlebell,,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Hanging leg raise,pullupbar,,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
Squats,,,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Squats with overhead press,Weights,,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
Squat pulses,,,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Wall sit,,,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Reverse lunge,,paired ,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Curtsy lunge,,paired,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Reverse lunge TRX,TRX,paired,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Curtsy lunge TRX,TRX,paired,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
One leg squat TRX,TRX,paired,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Lunge pulses,,paired,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
One leg bridge lifts,,paired,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Hamstring curls TRX,TRX,,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Reverse lunge with bicep curl,Weights,paired,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
One leg RDL,Weights,paired,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
TRX side lunge,TRX,paired,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
Side lunge on towel,,paired,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
Kettlebell swings,kettlebell,,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
TRX hip press,TRX,,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
TRX hip abduction,TRX,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Backbend,,,0,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
calf raise,,paired,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Backbend with leg raised,,paired,0,2,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
Backbend with arm raised,,paired,0,2,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
All fours side knee raise,,,0,2,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
Everest climbers ,,,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Break dancers,,,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
High knees,,,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Butt kickers,,,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
All fours leg lift,,paired,0,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"Knee to elbow, nose, opposite elbow",,paired,0,3,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Sumo squats,,,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Jumping jacks,,,1,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
Plank rows,Weights,,0,3,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
Superman,,,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Lower body Russian twist,,,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Pike (on towel),,,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Knee tucks (on towel),,,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
